,"Total Beds (ES, TH, SH)",,,,,,,,,,,Emergency Shelter (ES),,,,,,,,,,Transitional Housing (TH),,,,,,,,Safe Haven (SH),,,,,,,,Total Rapid Re-Housing (Including Demonstration Programs),,,,,,,,Rapid Re-Housing (Excluding Demonstration Programs),,,,,,,,Rapid Re-Housing Demonstration Projects (DEM),,,,,,,,Permanent Supportive Housing (PSH),,,,,,,,Other Permanent Housing (OPH),,,,,,,
CoC Number,"Total Year-Round Beds (ES, TH, SH)","Total Non-DV Year-Round Beds (ES, TH, SH)","Total HMIS Year-Round Beds (ES, TH, SH)","HMIS Participation Rate for Year-Round Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Year-Round Beds (TH),Total Year-Round Beds (SH),"Total Units for Households with Children (ES, TH, SH)","Total Beds for Households with Children (ES, TH, SH)","Total Beds for Households without Children (ES, TH, SH)","Total Beds for Households with only Children (ES, TH, SH)",Total Year-Round Beds (ES),Total Non-DV Year-Round Beds (ES),Total HMIS Year-Round Beds (ES),HMIS Participation Rate for Year-Round Beds (ES),Total Seasonal Beds (ES),Total Overflow Beds (ES),Total Units for Households with Children (ES),Total Beds for Households with Children (ES),Total Beds for Households without Children (ES),Total Beds for Households with only Children (ES),Total Year-Round Beds (TH),Total Non-DV Year-Round Beds (TH),Total HMIS Year-Round Beds (TH),HMIS Participation Rate for Year-Round Beds (TH),Total Units for Households with Children (TH),Total Beds for Households with Children (TH),Total Beds for Households without Children (TH),Total Beds for Households with only Children (TH),Total Year-Round Beds (SH),Total Non-DV Year-Round Beds (SH),Total HMIS Year-Round Beds (SH),HMIS Participation Rate for Year-Round Beds (SH),Total Units for Households with Children (SH),Total Beds for Households with Children (SH),Total Beds for Households without Children (SH),Total Beds for Households with only Children (SH),Total Year-Round Beds (RRH & DEM),Total Non-DV Year-Round Beds (RRH & DEM),Total HMIS Year-Round Beds (RRH & DEM),HMIS Participation Rate for Year-Round Beds (RRH & DEM),Total Units for Households with Children (RRH & DEM),Total Beds for Households with Children (RRH & DEM),Total Beds for Households without Children (RRH & DEM),Total Beds for Households with only Children (RRH & DEM),Total Year-Round Beds (RRH),Total Non-DV Year-Round Beds (RRH),Total HMIS Year-Round Beds (RRH),HMIS Participation Rate for Year-Round Beds (RRH),Total Units for Households with Children (RRH),Total Beds for Households with Children (RRH),Total Beds for Households without Children (RRH),Total Beds for Households with only Children (RRH),Total Year-Round Beds (DEM),Total Non-DV Year-Round Beds (DEM),Total HMIS Year-Round Beds (DEM),HMIS Participation Rate for Year-Round Beds (DEM),Total Units for Households with Children (DEM),Total Beds for Households with Children (DEM),Total Beds for Households without Children (DEM),Total Beds for Households with only Children (DEM),Total Year-Round Beds (PSH),Total Non-DV Year-Round Beds (PSH),Total HMIS Year-Round Beds (PSH),HMIS Participation Rate for Year-Round Beds (PSH),Total Units for Households with Children (PSH),Total Beds for Households with Children (PSH),Total Beds for Households without Children (PSH),Total Beds for Households with only Children (PSH),Total Year-Round Beds (OPH),Total Non-DV Year-Round Beds (OPH),Total HMIS Year-Round Beds (OPH),HMIS Participation Rate for Year-Round Beds (OPH),Total Units for Households with Children (OPH),Total Beds for Households with Children (OPH),Total Beds for Households without Children (OPH),Total Beds for Households with only Children (OPH)
VA-602,186,174,174,93.55%,95,91,0,44,145,41,0,95,83,83,87.37%,16,1,26,63,32,0,91,91,91,100.00%,18,82,9,0,0,0,0,.,0,0,0,0,30,30,30,100.00%,7,23,7,0,30,30,30,100.00%,7,23,7,0,0,0,0,.,0,0,0,0,2,2,2,100.00%,0,0,2,0,0,0,0,.,0,0,0,0
VA-603,257,240,240,93.39%,162,83,12,40,118,139,0,162,145,145,89.51%,67,2,20,64,98,0,83,83,83,100.00%,20,54,29,0,12,12,12,100.00%,0,0,12,0,18,18,18,100.00%,6,13,5,0,18,18,18,100.00%,6,13,5,0,0,0,0,.,0,0,0,0,37,37,37,100.00%,3,8,29,0,0,0,0,.,0,0,0,0
VA-604,350,315,309,88.29%,183,167,0,84,298,52,0,183,148,142,77.60%,48,0,33,134,49,0,167,167,167,100.00%,51,164,3,0,0,0,0,.,0,0,0,0,113,113,113,100.00%,29,102,11,0,113,113,113,100.00%,29,102,11,0,0,0,0,.,0,0,0,0,111,111,32,28.83%,16,58,53,0,0,0,0,.,0,0,0,0
VI-500,127,93,70,55.12%,84,43,0,19,44,83,0,84,59,44,52.38%,0,0,13,35,49,0,43,34,26,60.47%,6,9,34,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,22,22,12,54.55%,0,0,22,0,0,0,0,.,0,0,0,0
VT-500,583,479,226,38.77%,302,275,6,99,296,287,0,302,219,111,36.75%,37,395,57,164,138,0,275,254,109,39.64%,42,132,143,0,6,6,6,100.00%,0,0,6,0,128,128,0,0.00%,40,126,2,0,128,128,0,0.00%,40,126,2,0,0,0,0,.,0,0,0,0,391,391,267,68.29%,36,102,289,0,0,0,0,.,0,0,0,0
VT-501,457,405,60,13.13%,351,106,0,62,182,275,0,351,337,39,11.11%,0,0,42,119,232,0,106,68,21,19.81%,20,63,43,0,0,0,0,.,0,0,0,0,10,10,0,0.00%,1,4,6,0,10,10,0,0.00%,1,4,6,0,0,0,0,.,0,0,0,0,207,207,43,20.77%,19,59,148,0,0,0,0,.,0,0,0,0
WA-500,6664,6025,4734,71.04%,2754,3865,45,968,3566,3052,46,2754,2563,2036,73.93%,315,207,225,790,1942,22,3865,3417,2653,68.64%,743,2776,1065,24,45,45,45,100.00%,0,0,45,0,78,76,76,97.44%,33,75,3,0,78,76,76,97.44%,33,75,3,0,0,0,0,.,0,0,0,0,4687,4687,3787,80.80%,284,877,3810,0,0,0,0,.,0,0,0,0
WA-501,4047,3439,2630,64.99%,2300,1747,0,785,2524,1451,72,2300,1777,1261,54.83%,219,35,366,1195,1069,36,1747,1662,1369,78.36%,419,1329,382,36,0,0,0,.,0,0,0,0,2253,2181,2020,89.66%,383,1174,1077,2,2224,2181,2020,90.83%,375,1147,1075,2,29,0,0,0.00%,8,27,2,0,1457,1423,1263,86.68%,128,385,1072,0,414,389,260,62.80%,109,319,85,10
WA-502,1355,1268,652,48.12%,705,650,0,206,705,613,37,705,653,210,29.79%,0,0,67,267,401,37,650,615,442,68.00%,139,438,212,0,0,0,0,.,0,0,0,0,225,225,225,100.00%,13,41,184,0,225,225,225,100.00%,13,41,184,0,0,0,0,.,0,0,0,0,610,610,352,57.70%,71,152,458,0,77,77,52,67.53%,33,77,0,0
WA-503,1079,971,912,84.52%,513,566,0,223,689,390,0,513,434,415,80.90%,145,0,77,235,278,0,566,537,497,87.81%,146,454,112,0,0,0,0,.,0,0,0,0,305,284,284,93.11%,79,233,72,0,305,284,284,93.11%,79,233,72,0,0,0,0,.,0,0,0,0,654,654,341,52.14%,19,72,582,0,0,0,0,.,0,0,0,0
WA-504,607,550,534,87.97%,384,223,0,90,286,284,37,384,353,353,91.93%,0,14,47,147,221,16,223,197,181,81.17%,43,139,63,21,0,0,0,.,0,0,0,0,168,168,168,100.00%,31,95,73,0,168,168,168,100.00%,31,95,73,0,0,0,0,.,0,0,0,0,1037,1037,794,76.57%,142,428,609,0,0,0,0,.,0,0,0,0
WA-507,665,566,259,38.95%,392,273,0,155,482,183,0,392,345,106,27.04%,71,3,71,232,160,0,273,221,153,56.04%,84,250,23,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,274,274,145,52.92%,44,137,137,0,0,0,0,.,0,0,0,0
WA-508,469,446,436,92.96%,161,308,0,113,336,116,17,161,138,138,85.71%,74,41,27,94,50,17,308,308,298,96.75%,86,242,66,0,0,0,0,.,0,0,0,0,178,178,178,100.00%,45,130,48,0,178,178,178,100.00%,45,130,48,0,0,0,0,.,0,0,0,0,327,327,249,76.15%,42,99,228,0,0,0,0,.,0,0,0,0
WI-500,4037,2929,2522,62.47%,2191,1839,7,865,2679,1356,2,2191,1415,1130,51.57%,311,277,393,1342,847,2,1839,1507,1385,75.31%,472,1337,502,0,7,7,7,100.00%,0,0,7,0,178,167,167,93.82%,39,128,50,0,178,167,167,93.82%,39,128,50,0,0,0,0,.,0,0,0,0,448,448,293,65.40%,47,132,316,0,0,0,0,.,0,0,0,0
WI-501,1554,1482,1373,88.35%,725,786,43,233,714,802,38,725,663,616,84.97%,25,0,81,235,452,38,786,776,714,90.84%,152,479,307,0,43,43,43,100.00%,0,0,43,0,26,26,26,100.00%,2,10,16,0,26,26,26,100.00%,2,10,16,0,0,0,0,.,0,0,0,0,1271,1271,1128,88.75%,86,251,1020,0,0,0,0,.,0,0,0,0
WI-502,297,234,192,64.65%,193,104,0,41,138,151,8,193,162,150,77.72%,0,0,21,77,108,8,104,72,42,40.38%,20,61,43,0,0,0,0,.,0,0,0,0,9,9,9,100.00%,1,3,6,0,9,9,9,100.00%,1,3,6,0,0,0,0,.,0,0,0,0,130,121,60,46.15%,9,25,105,0,0,0,0,.,0,0,0,0
WI-503,616,573,548,88.96%,327,275,14,107,328,284,4,327,299,296,90.52%,75,4,54,173,150,4,275,260,238,86.55%,53,155,120,0,14,14,14,100.00%,0,0,14,0,205,205,205,100.00%,58,205,0,0,192,192,192,100.00%,54,192,0,0,13,13,13,100.00%,4,13,0,0,826,826,652,78.93%,120,387,439,0,0,0,0,.,0,0,0,0
WV-500,117,80,80,68.38%,77,40,0,25,68,49,0,77,54,54,70.13%,16,20,13,34,43,0,40,26,26,65.00%,12,34,6,0,0,0,0,.,0,0,0,0,1,1,1,100.00%,1,1,0,0,1,1,1,100.00%,1,1,0,0,0,0,0,.,0,0,0,0,18,18,18,100.00%,0,0,18,0,0,0,0,.,0,0,0,0
WV-501,261,240,237,90.80%,180,68,13,37,128,133,0,180,159,156,86.67%,0,0,19,60,120,0,68,68,68,100.00%,18,68,0,0,13,13,13,100.00%,0,0,13,0,4,4,4,100.00%,0,0,4,0,4,4,4,100.00%,0,0,4,0,0,0,0,.,0,0,0,0,403,403,403,100.00%,70,167,236,0,108,108,108,100.00%,0,0,108,0
WV-503,430,413,252,58.60%,302,128,0,40,115,305,10,302,285,150,49.67%,0,10,26,75,222,5,128,128,102,79.69%,14,40,83,5,0,0,0,.,0,0,0,0,2,2,2,100.00%,0,0,2,0,2,2,2,100.00%,0,0,2,0,0,0,0,.,0,0,0,0,178,178,95,53.37%,24,32,146,0,0,0,0,.,0,0,0,0
WV-508,1157,911,724,62.58%,804,353,0,141,511,646,0,804,673,533,66.29%,24,109,85,336,468,0,353,238,191,54.11%,56,175,178,0,0,0,0,.,0,0,0,0,66,66,66,100.00%,11,41,23,2,66,66,66,100.00%,11,41,23,2,0,0,0,.,0,0,0,0,620,620,288,46.45%,115,308,312,0,0,0,0,.,0,0,0,0
WY-500,815,613,338,41.47%,445,370,0,134,375,426,14,445,298,123,27.64%,32,16,67,175,256,14,370,315,215,58.11%,67,200,170,0,0,0,0,.,0,0,0,0,67,67,7,10.45%,15,52,15,0,67,67,7,10.45%,15,52,15,0,0,0,0,.,0,0,0,0,236,236,69,29.24%,86,127,54,55,0,0,0,.,0,0,0,0
Total,424880,373223,301763,71.02%,249497,173224,2159,66959,217401,202938,4541,249497,215115,171714,68.82%,22399,28331,36152,123252,123173,3072,173224,155958,128008,73.90%,30807,94149,77606,1469,2159,2150,2041,94.53%,0,0,2159,0,37783,36201,32577,86.22%,9657,29506,8253,24,36176,34623,31045,85.82%,9181,27911,8241,24,1607,1578,1532,95.33%,476,1595,12,0,300282,297504,218076,72.62%,42210,113487,186623,172,9843,9746,5947,60.42%,2031,6186,3647,10
