"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/31/2023","AQS","160010010","1","0.028","ppm","26","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"02/01/2023","AQS","160010010","1","0.03","ppm","28","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"02/02/2023","AQS","160010010","1","0.031","ppm","29","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"02/03/2023","AQS","160010010","1","0.024","ppm","22","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"02/04/2023","AQS","160010010","1","0.033","ppm","31","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"02/05/2023","AQS","160010010","1","0.038","ppm","35","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"02/06/2023","AQS","160010010","1","0.037","ppm","34","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"02/07/2023","AQS","160010010","1","0.03","ppm","28","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"02/08/2023","AQS","160010010","1","0.041","ppm","38","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"02/09/2023","AQS","160010010","1","0.037","ppm","34","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"02/10/2023","AQS","160010010","1","0.038","ppm","35","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"02/11/2023","AQS","160010010","1","0.037","ppm","34","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"02/12/2023","AQS","160010010","1","0.038","ppm","35","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"02/13/2023","AQS","160010010","1","0.034","ppm","31","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"02/14/2023","AQS","160010010","1","0.036","ppm","33","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
